First Name,Middle Name,Last Name,Suffix,Title,Location,E-mail Address,Home Phone,Mobile Phone,Home Address,Home Country,Company,Business Phone,Job Title,Department,Business Address,Business Country,Keywords,Notes
,,,,,,,,,,,"Kingdom Hall - APPIAN WAY TAGALOG, PINOLE CA",(510) 964-9001,,,"645 San Pablo Avenue, Pinole,  CA 94564",US,"KH,JW","Sunday @ 3:00 PM (10:00 AM in 2018), Friday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - BAILEY TAGALOG, CONCORD, CA",510-825-2730,,,"4941 Myrtle Dr, Concord,  CA 94521-1435",US,"KH,JW","Sunday @ 1:00 PM, Wednesday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - BERRYESSA TAGALOG, SAN JOSE, CA",(408) 272-2442,,,"1024 Piedmont Road, San Jose,  CA 95132",US,"KH,JW","Sunday @ 4:00 PM (1:00 PM in 2018), Wednesday @ 7:00 PM, "
,,,,,,,,,,,"Kingdom Hall - CRYSTAL SPRINGS TAGALOG, SAN BRUNO, CA",(650) 588-1774,,,"517 Easton Ave, San Bruno,  CA 94066-4310",US,"KH,JW","Saturday @ 3:00 PM (does not change), Monday @ 7:00 PM, "
,,,,,,,,,,,"Kingdom Hall - FOLSOM LAKE TAGALOG, GRANITE BAY, CA",(916) 467-4173,,,"8370 Berg Street, Granite Bay,  CA 95746",US,"KH,JW","Sunday @ 1:00 PM (4:00 PM in 2018), Thursday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - GOLDEN GATE TAGALOG, SAN FRANCISCO, CA",(415) 585-7600,,,"4360 Mission Street, San Francisco,  CA 94112",US,"KH,JW","Sunday @ 10:00 AM, Tuesday @7:00 PM, "
,,,,,,,,,,,"Kingdom Hall - HALL AVE TAGALOG, STOCKTON, CA",(209) 465-4400,,,"2201 Hall Avenue, Stockton,  CA 95206",US,"KH,JW","Sunday @ 12:30 PM (3:30 PM in 2018), Tuesday @ 7:00 PM, "
,,,,,,,,,,,"Kingdom Hall - LAKE ELIZABETH TAGALOG, FREMONT, CA",(510) 656-6371,,,"1611 Washington Blvd, Fremont,  CA 94539-5156",US,"KH,JW","Sunday @ 1:00 PM, Friday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - LAWLER RANCH PARKWAY TAGALOG, FAIRFIELD, CA",(707) 425-1344,,,"1651 Sunset Avenue, Fairfield,  CA 94533",US,"KH,JW","Sunday @ 1:00 PM, Friday @ 7:30PM, "
,,,,,,,,,,,"Kingdom Hall - MARCONI TAGALOG, SACRAMENTO, CA",(916) 646-3929,,,"3333 Del Paso Boulevard, Sacramento,  CA 95815",US,"KH,JW","Sunday @ 4:00 PM, Wednesday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - NORTH TAGALOG, STOCKTON, CA",(209) 931-2353,,,"3540 Wilmarth Road, Stockton,  CA 95215",US,"KH,JW","Sunday @ 1:00 PM (3:30 PM in 2018), Wednesday @ 7:00 PM, "
,,,,,,,,,,,"Kingdom Hall - NORTHBAY TAGALOG, VALLEJO, CA",(707) 643-8577,,,"11 Melvin Road, American Canyon,  CA 94503",US,"KH,JW","Sunday @ 9:30 AM (12:30 PM in 2018), Thursday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - PARADISE VALLEY DRIVE TAGALOG, FAIRFIELD, CA",(707) 422-7824,,,"2010 E. Tabor Avenue, Fairfield,  CA 94533",US,"KH,JW","Sunday @ 3:30 PM (9:30 AM in 2018), Wednesday @ 7:30PM, "
,,,,,,,,,,,"Kingdom Hall - PIONEER WAY TAGALOG, MOUNTAIN VIEW, CA",(650) 967-6200,,,"120 Pioneer Way,                   Mountain View,  CA 94041",US,"KH,JW","Sunday @ 10:00 AM (2:00 PM in 2018), Wednesday @ 7:00PM, "
,,,,,,,,,,,"Kingdom Hall - RUUS PARK TAGALOG, HAYWARD, CA",(510) 782-2482,,,"28291 Ruus Road, Hayward,  CA 94544",US,"KH,JW","Sunday @ 9:30 AM (12:30 PM -2018), Thursday @ 7:30PM, "
,,,,,,,,,,,"Kingdom Hall - SIERRA TAGALOG, SPARKS, NV",(775) 626-5153,,,"3400 Spanish Springs Rd, Sparks,  NV 89436-0621",US,"KH,JW","Saturday @12:30 PM (Same for 2017), Friday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - SOUTHSHORE TAGALOG, ALAMEDA, CA",(510) 523-3394,,,"2039 Lincoln Avenue, Alameda,  CA 94501-2712",US,"KH,JW","Sunday @ 10:00 AM (1:00 PM in 2018), Wednesday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - STONELAKE TAGALOG, ELK GROVE, CA",916-691-9539,,,"9539 Foulks Ranch Dr, Elk Grove,  CA 95758-4321",US,"KH,JW","Sunday @ 4:00 PM, Thursday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - STORY TAGALOG, SAN JOSE, CA",(408) 286-5199,,,"1205 Lucretia Avenue, San Jose,  CA 95112",US,"KH,JW","Sunday @ 9:30 AM (2:30 PM for 2018), Friday @ 7:30 PM, "
,,,,,,,,,,,"Kingdom Hall - WEST CLOVER ROAD TAGALOG, TRACY, CA",(209) 839-0076,,,"10981 West Clover Road, Tracy,  CA 95376",US,"KH,JW","Saturday @ 3:30 PM (Does not change), Monday @ 7:00 PM, "
,,,,,,,,,,,"Kingdom Hall - WESTLAKE TAGALOG, DALY CITY, CA",(415) 586-9194,,,"11 Bright Street, San Francisco,  CA 94112",US,"KH,JW","Sunday @ 10:00 AM (1:00 PM in 2018), Thursday @ 7:00 PM, "
